tweet;nb_com;nb_rt;nb_like
I just launched 300 restaurants nationwide! Just go on your favorite delivery app and order a MrBeast Burger! WE’VE BEEN WORKING ON THIS FOR FOREVER AND IM SO EXCITED!;14100;21000;316900
This video will go up on Christmas ;557;308;32000
We just filmed our most insane video ever and I’m dying for you to see it   (bigger then the private island series);2400;1600;127000
We’ve been filming for the past 20 hours and we’re about to pass out;1600;1100;118800
Over your lifetime you’ve had 10’s of thousands of dreams but you can’t remember any of them;4100;2700;190000
*checks my comment section to see if they liked the new video   My comment section -;1100;742;77800
We’ve been filming for the past 20 hours and we’re about to pass out;1600;1100;118800
Over your lifetime you’ve had 10’s of thousands of dreams but you can’t remember any of them;4100;2700;190000
*checks my comment section to see if they liked the new video   My comment section -;1100;742;77800
So Mr Beast wanted me to build him some custom GameBoys... So I did. -  https://youtu.be/ygD6gHmVYPE;253;396;31100
One dude used a big brain move and cleared a rack of gift cards ;499;271;45000
I gave random subscribers $1,000,000 but only 1 minute to spend it! Go watch!;2300;1100;88400
I might make a “How To Be A YouTuber” course to raise money for a really really expensive video I want to do lol;1800;951;100900
Green apples are better than red apples. Sorry;10600;10100;209600
Jokes, thanks everybody ;341;207;51000
Ayyy, we didn’t lose to Tana this year ;1600;1200;148100
And the #streamys Creator of the Year is...  @MrBeastYT ! A HUGE congratulations! ;1400;4700;97700
Almost all of MrBeast's videos this year have hit 20M+ views.  I remember when 10M used to be the standard lol;193;300;18000
Fan meetup;3400;5500;211200
Has anyone opened a single fleet in the past week?;3200;978;82900
If I can get these videos to go viral, it’s going to be insane what we can accomplish! After we start a few food banks I’d love to expand into some homeless shelters :);360;353;32900
So far our Food Bank has given out over 30,000 meals! We want to get the hang of things before we start making content for the philanthropy channel, can’t wait to show you guys this :);820;1300;76000
Give me likes on my birthday;2700;1800;177900
Who gave me much power?;2100;1800;159000
If colleges made videos like Kurzgesat, I’d probably have like 10 degrees lol;358;710;32700
I live for the day that you just watch a giant YouTube playlist of recorded college classes and that’s enough to take tests and get a degree.;890;1300;73900
Any small youtuber want to give me 10% of your channel for like $10k to $100k? (Depends on ur size) Let’s run an experiment and see how it works lol;6600;903;48600
Like when I see a channel that I think will blow up, I wish I could just like buy shares in it or something lol;885;319;42900
I wish there was a way to invest in social media influencers! Idk anything about the stock market and I find it boring.;2700;1200;104200
:));5900;2000;156300
The more money I give away in a video, the more people just don’t believe it’s real.  How would I even find that many actors??? I’ve literally given away money to thousands of people ;8600;2100;159900
The more money I give away in a video, the more people just don’t believe it’s real.  How would I even find that many actors??? I’ve literally given away money to thousands of people ;8600;2100;159900
Just started playing chess a few days ago, any creators want to play? I’m addicted ;4300;1000;114100
My comment section has informed me 91,231 times that I didn’t say your name right in the new video  @Lazarbeam  . I just wanted to publicly apologize for me being absolutely trash at remembering names.;564;418;76700
hi mum   im in a  @MrBeastYT  video;509;494;64099
It’s up!;157;72;13500
Just uploaded! Go watch or I’ll kick you in the face;1500;525;70100
FINALLY, after a year of trying we got custom lasers that look good on camera! Tomorrow’s video is epic :);902;740;77200
If this channel brings in the kind of money I think it will, I think we will quickly be able to expand to dozens of communities and feed hundreds of thousands of people ;488;388;26100
Our food bank is coming along nicely! In a month or so I’m going to start posting on this channel videos of us feeding communities and 100% of all revenue will go towards food and expanding the charity. I can’t wait :));1100;1500;45100
If any other creators want to help just reply! I’m going to need it ;4000;962;138300
Since YouTube isn’t making a rewind this year, I’m going to :);7700;11500;419500
This thing is on top of my timeline;303;313;17800
Twitter added stories! Now all our crippling social media addictions have another thing to waste time on everyday :));852;1600;81600
Today, MrBeast became the 242nd YouTube Channel to pass the World Population in Total Channel views at around 7.826B!;514;1000;49400
I made an alt twitter so I can be extra weird;1900;1200;128600
I set up a button that when you pressed it you’d either get $100,000 or a punishment! Go watch to see how many people pressed it!;1100;704;67500
i think  @MrBeastYT  should make Rewind 2020.;648;2300;84700
Half way thru my walk it started raining and now I’m wet. Can I get sympathy likes?;2800;849;154500
Just to put it out there I didn’t make this to flex. I was curious if there was a way to show how growth on YouTube is exponential! Feel free to do the same for your channels and share below!;678;227;46100
This is how many views I got on YouTube during each year of my life.  22 - 3,487,571,441 (So far) 21 - 3,324,451,660 20 - 2,099,879,911 19 - 464,282,517 18 - 122,441,813 17 - 5,482,596 16 - 202,000 15 - 125,634 14 - 41,148 13 - 7,000 12 - 15,000;2300;2500;141500
So just to be clear we are no longer accepting new cars! I’m super sorry, just trying to be responsible and not slow down traffic! I LOVE YOU ALL! This was insane ;189;129;27900
Genuinely, you guys are insane and next time I’ll try to rent like a city or something ;354;371;38500
We are no longer accepting cars to the free restaurant! We thought the giant parking lot we had would be enough to handle all the cars but there is a 20 mile line  If you’re not in the parking lot currently aka on the road, I LOVE YOU AND THANK YOU FOR COMING OUT ;682;641;65900
Half way thru my walk it started raining and now I’m wet. Can I get sympathy likes?;2800;849;154500
Just to put it out there I didn’t make this to flex. I was curious if there was a way to show how growth on YouTube is exponential! Feel free to do the same for your channels and share below!;678;227;46100
This is how many views I got on YouTube during each year of my life.  22 - 3,487,571,441 (So far) 21 - 3,324,451,660 20 - 2,099,879,911 19 - 464,282,517 18 - 122,441,813 17 - 5,482,596 16 - 202,000 15 - 125,634 14 - 41,148 13 - 7,000 12 - 15,000;2300;2500;141500
So just to be clear we are no longer accepting new cars! I’m super sorry, just trying to be responsible and not slow down traffic! I LOVE YOU ALL! This was insane ;189;129;27900
Genuinely, you guys are insane and next time I’ll try to rent like a city or something ;354;371;38500
We are no longer accepting cars to the free restaurant! We thought the giant parking lot we had would be enough to handle all the cars but there is a 20 mile line  If you’re not in the parking lot currently aka on the road, I LOVE YOU AND THANK YOU FOR COMING OUT ;682;641;65900
There is still a ginormous line! I wouldn’t recommend you drive from far away because we are closing tonight (obviously) and we are struggling to keep up with the demand ;312;131;23400
I opened a free restaurant (it’s drive thru only) but the line is so insanely long already that it’d be pointless to tweet the address. We have so many people waiting and idk how they even found the place ;613;392;39500
This is the oldest tweet on my account, help me ratio it so dream and tommy can’t!;338;312;31900
IDC WHAT YOU SAY BIG CHUNGUS COULD EASILY CLAP THANOS;2700;3600;121100
If any of you live near NC I might have something fun happening tomorrow ;6800;1700;106800
I remember feeling like a weirdo when I was younger because I couldn’t relate to anyone and people would always tell me to stop talking about YouTube so much.;560;352;44900
Over the last decade I’ve probably spent 90%+ of my waking hours thinking about how to make better YouTube videos. I have a problem lol;1200;803;98900
New video;1500;3700;130199
I can't wait for  @MrBeastYT  presentation breaking down a few YouTube channels & videos... It's going to be epic!;104;104;8100
Thank you to everyone that came out to the stream! It was fun ;2100;968;93700
What should me and the boys get for tattoos? ;4800;473;53700
Thank you for 10,000,000 on the gaming channel ;2000;1900;115000
The 24 hour shirt signing live stream is about to start! Get in here!!!  https://youtu.be/oSuuBVG1rAA;647;471;21000
I’ll also be giving away tons of stuff in the stream ;1200;785;32299
I’ll also be giving away tons of stuff in the stream ;1200;785;32299
We will be signing shirts for 24 hours straight! This is going to be insane haha;194;185;18500
Me and the boys are doing a 24 hour straight livestream on the main channel today to celebrate our epic limited edition merch drop! See you in 4 hours!  https://youtu.be/oSuuBVG1rAA;609;715;33800
And to celebrate this big drop we will be live streaming for 24 hours straight signing shirts! Clear your schedule tomorrow and spend the day with me and the boys :);304;220;19800
Tomorrow I am dropping the craziest 24 hour limited edition merch ever!  Every shirt will be signed AND I’m flying 20 random people that buy it down to compete for $1,000,000 in a video  https://youtu.be/oSuuBVG1rAA;1400;951;38500
Me and the boys are doing a 24 hour straight livestream on the main channel today to celebrate our epic limited edition merch drop! See you in 4 hours!  https://youtu.be/oSuuBVG1rAA;609;715;33800
And to celebrate this big drop we will be live streaming for 24 hours straight signing shirts! Clear your schedule tomorrow and spend the day with me and the boys :);304;220;19800
Tomorrow I am dropping the craziest 24 hour limited edition merch ever!  Every shirt will be signed AND I’m flying 20 random people that buy it down to compete for $1,000,000 in a video  https://youtu.be/oSuuBVG1rAA;1400;951;38500
Make sure you text me! About to send out important information :);1000;407;29100
If you were me, what video would you film?;25400;3000;169200
At this moment, my life peaked. It’s all downhill from here;980;2800;133900
I hope you enjoyed the stream ;503;164;29600
YouTube Gaming was popping today ;620;1200;77600
I spent 24 hours in ice, go watch on the main channel!;789;512;54800
In 2 hours I will be live-streaming Among Us with Pewdiepie, Jack, Corpse, etc. on my gaming channel! This will be my first ever gaming stream!!!!!!!!!;562;749;30900
Streaming Among Us on YouTube tomorrow, Thursday 12PM PST / 3PM EST  Pewdiepie Valkyrae Sykkuno Pokimane Mr Beast JackSepticEye Disguised Toast Logic Rhymestyle;3200;9600;222100
Yo  @reedjd_  how long do I have to wait to own a team? I want one ;273;129;21500
One of my goals in life is to own a league team one day;800;650;41600
If you never played Wizard 101 don’t talk to me.;4700;6500;106200
League of Legends is honestly the best game ever created.;4800;7300;111700
http://backbone.gg;131;173;7300
Anyone want to play league of legends? None of my friends like it ;7900;2500;155200
Backbone is truly a mind-blowing new gaming experience for the iPhone. The hardware AND software are absolutely phenomenal.  Honored to be investing alongside  @MrBeastYT ,  @Nadeshot ,  @TypicalGamer ,  @Preston ,  @Kwebbelkop , and  @reedjd_ https://playbackbone.com;234;330;7500
Happy birthday,  @teamtreesofficl !  @MrBeastYT  and  @MarkRober , thank you for showing us that big things can happen when the YouTube community comes together. 22 million trees and counting - I can't wait to see what you'll do next! ;197;356;12700
If you are remotely interested in YouTube, you should watch our podcast with  @MrBeastYT . His obsession shows through and he puts on a masterclass of content and YouTube strategy. Truly one-of-a-kind.;72;168;7300
Text me here and I’ll reply to a few of you and also keep you updated on all things MrBeast :)  +1 (917) 259-6364;3400;2100;64000
TODAY IS THE ONE YEAR ANNIVERSARY OF TEAMTREES ;1700;9200;157000
And since the BTS community put in so much effort and this was all in good fun I’ll also give them $10,000. GGs all around ;10400;49300;155700
TIME IS UP!  @Corpse_Husband  barely beat the BTS community and manage to win! He said he wanted his $10,000 donated to charity :);7400;15200;184700
IT’S SO CLOSE AND ONLY 27 MINUTES LEFT!;1000;1200;23700
The video isn’t sponsored so plz watch ;326;232;41700
I bought every car in a car lot and then became an Uber driver. At the end of all my rides I gave the passenger the car lol! GO WATCH!;1500;2100;106400
The battle is fierce on this one! The likes are neck and neck ;3400;4100;102100
Cut off is exactly 24 hours after I tweeted the original tweet!;437;457;46400
Hey Kpop fans, you about to let Minecraft youtubers show you up like this? Are they the new biggest fan base? ;2200;2500;73300
Tomorrow I’m going to give whoever ratios me the hardest on this tweet $10,000;142100;30200;333400
I got YouTube down but when it comes to insta I got 0 idea what I’m doing. Bare with me everyone;284;155;29000
Stop;2000;1400;96900
These three videos did really well, I kind of want to do them again but much bigger..;2300;1100;68400
Epic;2200;1200;85800
I miss the doggos from this ;752;824;40500
Baby Shark is about to pass Despacito as the most viewed YouTube video!;2700;6700;122000
Epic;2200;1200;85800
I miss the doggos from this ;752;824;40500
Baby Shark is about to pass Despacito as the most viewed YouTube video!;2700;6700;122000
We played Among Us on the gaming channel but whoever won the game got $10,000! It’s epic ;511;538;49400
Get out of my house I don’t want your insurance!;2400;5000;144600
Let’s make the replies to this tweet look like the YouTube comment section;24700;3000;145600
SO FAR IT’S WORKING;605;528;52400
MY FRIEND TOLD ME IF I TWEETED IN ALL CAPS I’D GET MORE ENGAGEMENT, LET’S SEE IF HE’S RIGHT;5100;6900;289400
4 million on Twitter!!!! thank u so much!! only 96 million more until 1 billion!! ;6000;6900;157700
Hand*  Someone make an app that spells checks tweets for me. I’ll give you everything I own;686;375;33600
Next week’s video is amazing, I started Uber driving random people for fun but at the end of every ride I had people the keys to the car and let them keep it LOL;898;1500;79200
The criticism is noted and I’ll definitely keep all the teams the same size next time! 100% my b ;377;288;28200
Stay in school kids;4000;3500;100700
I see some people mad that I let multiple people compete on a single team in the trivia tournament! Honestly, the tournament was just for fun and to bring the community together and I’d appreciate if you were to get mad at anyone, get mad at me. It was my decision lol;2700;2300;115400
Congratulations to  @dixiedamelio ,  @charlidamelio  and the  @dameliofamily  for winning #TheCreatorGames 2! Thanks to  @MrBeastYT  for another great tournament and to all 24 Creators for playing!;1600;1000;23900
dixie when did you get so smart?;2200;1300;136300
Thank you for 1,000,000 concurrents on the stream!! I don’t ever stream so it’s scary for me but I’m happy you all dig it ;820;889;58800
THAT LIVESTREAM WAS AMAZING! I LOVE ALL OF YOU!;2700;1500;97700
Went further than ever thought possible  Thanks for having me  @MrBeastYT  is the GOAT;297;350;29700
That was a lot of fun, shout out  @MrBeastYT  for setting up a dope event. I’m glad I can now finally sleep though ;411;733;66500
IF YOU’RE NOT WATCHING THE $300,000 TRIVIA TOURNAMENT COME JOIN!;915;910;25400
Ok so remember how I lost to  @whoisaddison  in Rock Paper Scissors that one time?  REVENGE TIME. I’m playing in the  @MrBeastYT  Creator Games 2! And it’s trivia  Winner gets $300K to give to their subscribers!  Pull up: http://yt.be/thecreatorgames2…;289;729;22900
Hosting The Creator Games 2 alongside  @MrBeastYT !  Going to be an insane stream. Should be super fun!  Watch here: https://youtu.be/1V_03efSkg0;134;301;15500
Ok so remember how I lost to  @whoisaddison  in Rock Paper Scissors that one time?  REVENGE TIME. I’m playing in the  @MrBeastYT  Creator Games 2! And it’s trivia  Winner gets $300K to give to their subscribers!  Pull up: http://yt.be/thecreatorgames2…;289;729;22900
Hosting The Creator Games 2 alongside  @MrBeastYT !  Going to be an insane stream. Should be super fun!  Watch here: https://youtu.be/1V_03efSkg0;134;301;15500
hi mum I made the thumbnail!;422;559;40700
Today's the day! 24 Creators will be competing for $300K to give to their subscribers in #TheCreatorGames 2. Keep an eye on your  @ESPN  Pick'em bracket and join us at 2pm PT on  @MrBeastYT 's channel ;107;263;7800
Almost time for  @MrBeastYT  ‘s Creator Games!   ...tbh, I'm SUPER nervous so send me all your good vibes. (And if I'm out on the first round, press F to pay respects.);500;419;23500
This should be good;392;379;31000
Two hours until 24 massive influencers go head to head in trivia for $300,000!! I’m excited :);392;643;22100
Playing in  @MrBeastYT  ‘s YouTube Creator Games in 2 and a half hours! I need all the good luck I can get. Show up and support me in the chat!!;2400;2000;121900
https://youtu.be/1V_03efSkg0  5pm Eastern!;96;228;12800
Ninja couldn’t make it so  @GeorgeNotFound  is now going up against Addison Rae! See you all in 6 hours! :);1900;2500;95500
I just remembered we have to get tattoos when the gaming channel hits 10 million ;489;811;52000
I just checked and I am the least educated person in the entire  @MrBeastYT  Creator Games  fuck;834;671;56200
24 hours until the start of creator games! This is going to be fun :);583;855;52700
Or just make whatever predictions you want!  I think in 5 years tv will be mostly irrelevant.;589;302;24200
I want to do something like the “hi me in 5 years” video but for twitter! This tweet will automatically retweet in 5 years.  Reply with how big you think the channel is and what we’ll be doing and then when this is retweeted in 5 years we can compare it with reality! ;9400;3000;77600
Real men use crying emojis don’t @ me.;307;398;35900
Chipotle gave me a black card which let’s me eat for free. It’d be funny if I did a challenge where I ate Chipotle every day until I turned 80 years old or something just to make them mad ;2100;2300;116300
Watch out  @Dream  -- we're warming up for you!  See how we do SATURDAY on  @MrBeastYT  Creator Games!;617;1700;53800
*Has 5 minutes to kill  *Opens Tik Tok  *One hour passes  Me - That was a great 5 minutes!;1300;3000;99500
Me and  @MarkRober  will prob do an update vid on the 1 year anniversary! ;190;296;34900
TeamTrees was so much fun, these random memes bring back so many memories ;602;3000;96800
*Has 5 minutes to kill  *Opens Tik Tok  *One hour passes  Me - That was a great 5 minutes!;1300;3000;99500
Me and  @MarkRober  will prob do an update vid on the 1 year anniversary! ;190;296;34900
TeamTrees was so much fun, these random memes bring back so many memories ;602;3000;96800
Let’s make it where people don’t have to choose between paying rent or eating food.;339;857;32900
Finally worked out all the legal stuff and now we are securing/up fitting a warehouse for the food bank! I’m dying to start up the new channel where 100% of all ad rev, merch, and brand deals will go towards running the food bank! I want to see how big we can grow this ;1400;5200;123100
Among us with 100 players? Friday on the gaming channel ;757;1200;47500
To get 100 million views all you have to do is buy 100 million of something lol;494;339;34500
;1500;1500;85600
I was put up against a neuroscience major with a perfect SAT score and his equally talented wife in a TRIVIA competition in a 1v2.  this is going to be the worst loss of my life;2700;2600;110400
Mans got knowledge in his name so this is an easy dub;1000;1100;55600
Whoever wins the next creator games gets $300,000 to give away to their fans so I’d become a fan of all of them if you’re not already ;1900;2100;60400
hehe;127;110;9500
and whoever wins gets $300,000 to giveaway to their fans.. ;346;342;26900
and whoever wins gets $300,000 to giveaway to their fans.. ;346;342;26900
. @MrBeastYT  is back to present #TheCreatorGames 2! He's inviting 24 Creators to compete on October 17 in all new challenges for even bigger prizes. Keep your eyes peeled for the matchups ;351;1100;18800
Creator Games is back for round 2 on October 17th! These 24 Creators will be competing in Trivia to see who the smartest creator in the world is  Reply who you think will win!;5700;5200;88300
This is when I peaked;1300;2400;94300
I haven’t worm a tie in 500 years so I thought you should know I broke the streak;2400;3000;185600
If people say you’re being sus just show them this tweet. Hey, he isn’t being sus for voting green, he is just listening to science. Back off;162;370;30100
When in doubt, always vote green out in Among Us. You’re welcome.;1600;2900;103200
Me and Mark Rober did something.. go watch :);871;1100;65099
Instagram stories with my feet, 1.8 million views. Instagram stories without my feet, 1.2 million views. Why do 600,000 like my feet so much? ;621;464;28300
Don’t tell the rich people but this is a negotiation tactic. I’d obviously be fine with a million dollars but I have to start off with something crazy so the mil seems more reasonable. Don’t tell them though ;421;400;45800
I have a cool idea!;379;317;44700
I doubt this will work but it’s worth a shot. Any of you super rich people out there want to give me 10 million dollars to giveaway in a video? Pretty plz;5600;4200;167300
I asked my friend what my deodorant smells like and he said “blue”...   It’s been a few hours and I’m still confused;2000;1800;86200
“Hey Mr US Navy, can I borrow a ship for like two days? I promise I’ll return it!”;636;898;55700
The US Navy seems to like our videos (probably the weirdest sentence I’ve ever typed  ) I’m going to ask them if I can borrow a ship for a video. Wish me luck lol;1100;2700;97300
Who here wants to get paid to use social media all day?;17000;2800;84900
I want to spend less time on social media but I also like knowing what’s going on :/  I think I’m going to hire someone to read/watch every tweet/insta/TikTok post in my all feeds everyday and just give me a 10 min digest at the end of the day of what I need to know lol;3800;2400;104600
If a video is a banger, the algorithm will find an audience for it. The algorithm isn’t going to not promote your 90%+ retention video with high ctr just because it’s a minute shorter then what you usually post.;165;212;15300
Here are examples of 15+ minute videos, 10 minute videos, a 6 minute video, and sub 1 minute videos doing well for us.  People always ask me how long they should make their videos. It doesn’t matter! Just make the best video u possibly can and whatever length that is, upload it;423;713;28400
If done right, I think positivity can grow a person’s social media presence just as much as controversy. Random thought;1500;3500;101600
We're currently hiring for several positions! Please consider applying or sharing with friends  Video editors for gaming related content https://forms.gle/ZQCXtpDx7JRPKpav5…  Thumbnail designers https://forms.gle/FnwDyUzgDQjydqCE8…;2100;1900;25700
If you like playing Among Us you should get a job in airport security.;2400;5600;187900
Young me really be watching out for me ;247;279;35300
I love how a video that took young me 5 minutes to film had a better start then the video where I gave away a real island ;926;1700;90300
After 5 entire years the video finally went public!!!! GO WATCH ;1600;2000;114100
Idk why but I’ve always had this love for doing absurdly stupid pointless stuff. All these smaller challenges helped me build up the mental endurance to count to 100,000 when I dropped out of college haha;216;330;33200
Young me really be watching out for me ;247;279;35300
I love how a video that took young me 5 minutes to film had a better start then the video where I gave away a real island ;926;1700;90300
After 5 entire years the video finally went public!!!! GO WATCH ;1600;2000;114100
Idk why but I’ve always had this love for doing absurdly stupid pointless stuff. All these smaller challenges helped me build up the mental endurance to count to 100,000 when I dropped out of college haha;216;330;33200
Before and after. It was so brutal that I had to call in friends, they were so confused why I needed help sawing the table with only plastic knives ;192;359;26700
When I was in HS I randomly got curious at lunch if I could cut a table in half with only plastic knives. So on my way home I bought a table and 1000 plastic knives & spent the entire weekend cutting a table in half with only plastic knives 4 a vid. Idk how that evolved into this;974;2100;97800
It’s a video I filmed when I had 8,000 subscribers and scheduled uploaded 5 years in the future. Tomorrow is the big day!;523;949;60800
I’ve waited 1,824 days to upload tomorrow’s video ;1300;1800;93400
Should I remove “6969420” from my name or keep it for a week? You decide;2400;870;45100
Shoutout to my squad, they pretty dope;1200;1400;79700
On November 1st I’m dropping another limited edition shirt that will be signed! I see lots of people who are sad they missed the last one so I’ll do it one more time. It will be the last time I ever sign a shirt! (Assuming I don’t go crazy this time lol);1500;1300;72300
Let’s just give everyone $1,000,000. That should fix most our problems!;2300;2000;78000
Seeing how divided America is makes want to consider running for president one day (very far in the future, currently I’m stupid) but I also have “6969420” in my name atm from a Minecraft scavenger hunt so I doubt anyone would ever take me serious lmao;3700;6900;189100
Don't tell the streamers but there are hidden clues in the picture.. shh;388;282;34500
Use your big brains gamers. There are hints in the picture 0.o;383;234;33300
I convinced Dream to let me on his SMP server and I hid a $10,000 Taco Bell gift card (not sponsored I just think it’s hilarious  ) in this chest. Whoever finds it first, keeps it! Good luck gamers;3200;4300;148300
This is insane!;472;1000;30900
I love talking to random people that have dedicated their life to something. Whether it be investing, social media, sports, or stacking cups lol it’s consistently been the best way to inspire me creatively.  If you’re an interesting person reply to this tweet! I’d love to chat :D;11600;2500;92100
I’m watching a dude sculpt a toilet out of ice. What you up to?;3600;1100;88300
Jk, I wuv what I do;214;168;22800
I’m starting to question my decisions in life;186;241;25300
It’s funny that one video took tons of creative planning, weeks of prep, hundreds of thousands of dollars, lots of filming, and the other is me playing Among Us with my friends ;828;1300;66300
The US Navy comments on all my Instagram pictures and I don’t know what to do with this kind of power ;2700;3400;129699
I’ve probably spent 5+ hours a day all month thinking on this. I genuinely want to make the best content possible for you guys and I’ll do whatever it takes ;498;324;21800
Been thinking a lot recently about how I can evolve my content and take it up a notch. Going to test some bigger/weirder ideas and see how you guys like it :);1400;789;43700
I’m starting to question my decisions in life;186;241;25300
It’s funny that one video took tons of creative planning, weeks of prep, hundreds of thousands of dollars, lots of filming, and the other is me playing Among Us with my friends ;828;1300;66300
The US Navy comments on all my Instagram pictures and I don’t know what to do with this kind of power ;2700;3400;129699
I’ve probably spent 5+ hours a day all month thinking on this. I genuinely want to make the best content possible for you guys and I’ll do whatever it takes ;498;324;21800
Been thinking a lot recently about how I can evolve my content and take it up a notch. Going to test some bigger/weirder ideas and see how you guys like it :);1400;789;43700
In the new video I uploaded someone proposed to their girlfriend.. go watch!;595;618;44600
3 months ago I called a random phone number and told a guy he won $10,000 and he still to this day won’t take it. He thinks it’s a scam lol  I give up on this tik tok;10700;5100;172300
Unless of course you want to lose money! Then buy tons :D;468;422;42200
I’ve done 4 different videos where I bought $30,000 $50,000 $100,000 and even $1,000,000 worth of scratch off tickets and all four times I lost money. Don’t buy scratch off tickets, this just shows you’ll lose money.;2000;5000;119400
The new gaming video is hilarious!;578;475;19400
If you want your own picture of Mark Rober to tweet dm me;994;354;36600
Mark Rober;1300;1400;90300
Why would you make this? Lol;988;2000;72500
Later this year I’m flying down some subscribers to compete for $1,000,000. So if you’re not already subbed, I’d do it ;10700;6900;184500
I surprised my 40,000,000th subscriber with 40 cars lol, go watch!;2500;3100;91000
I guess technically three lol;217;247;20700
Both channels trending ;1100;1700;73600
I can force myself to do the dumbest things for 24 hours for videos but when I was in school I physically couldn’t do 10 minutes of homework without losing my mind. Just shows how much easier it is to grind when you’re passionate about something.;1200;5800;103600
Jimmy being completely honest with you. I've watched all your old videos to learn how YOU became YOU now, and this reminds me that you're a grinder, never stop my friend you're an inspiration!;85;190;12700
Just uploaded! Go watch it or I will round house kick you in the throat.;1900;1100;53100
For context, when I filmed that video I was in high school with $0 to my name. I couldn’t afford a camera so all the videos at the time were shot in low fps on my phone haha;263;330;31000
In two weeks a video I scheduled uploaded 5 years ago when I had 8,000 subscribers goes public! In it I tried to guess how many subscribers I’d have when the video went public LOL;759;1500;69300
I can force myself to do the dumbest things for 24 hours for videos but when I was in school I physically couldn’t do 10 minutes of homework without losing my mind. Just shows how much easier it is to grind when you’re passionate about something.;1200;5800;103600
Jimmy being completely honest with you. I've watched all your old videos to learn how YOU became YOU now, and this reminds me that you're a grinder, never stop my friend you're an inspiration!;85;190;12700
Just uploaded! Go watch it or I will round house kick you in the throat.;1900;1100;53100
For context, when I filmed that video I was in high school with $0 to my name. I couldn’t afford a camera so all the videos at the time were shot in low fps on my phone haha;263;330;31000
In two weeks a video I scheduled uploaded 5 years ago when I had 8,000 subscribers goes public! In it I tried to guess how many subscribers I’d have when the video went public LOL;759;1500;69300
Sorry the uploads have been slow. When I said I’d sign every shirt I sold I didn’t think it would take me 2 weeks of 10 hour days to sign them all... kind of messed up the upload schedule lol;1000;1000;72700
Zealous uploaded his first video after the 2 million subscriber shout out and I think he knocked out of the park!;440;406;17300
Going back at it, someone remind me to sleep tonight. Literally anything game with strategy is like a drug to me lol;438;220;21500
We started playing board games at 11pm last night and we just finished after 13 hours  I have a problem when it comes to strategy games lol;1300;1100;69100
I’m using Instagram stories again, don’t miss out on this peak content;1100;821;46600
Dear followers, I’m curious. Do you watch my YouTube videos?;6200;1200;39300
How did we all get so addicted to this app? I bet 90% of you reading this couldn’t quit using Twitter for a month if you tried.;23400;7800;172100
On a serious note I’d love to make a video on this topic sometime. I find it very fascinating and I feel like I’d have some good insight as someone that was fortunate enough to come into money at a young age. Idk I’ll go back to dumb tweets;693;323;25200
Ngl if you gave me a couple billion dollars I’d be pretty freaken happy. I’d grab maddy and fly around the world helping people lol;740;534;36500
Can money buy long term happiness?;11000;2700;48800
Hit me with things you think I could do better in my videos! I want to always improve ;7900;1100;64300
Update - I didn’t know this but tik tok pays royalties. Makes sense now;188;318;27700
To clarify I havnt had this issue in over a year! YouTube has done a good job fixing it. I just thought this was funny;103;218;21000
